Active;Name ;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;CATALOGUE Adhesive;70.794;78;35.397;T50-20-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Adhesive,T50-20-1,Accexxon;CATALOGUE Adhesive;CATALOGUE,Adhesive,T50-20-1,Accexxon;Accexxon-T50-20-1;3
1;CATALOGUE Adhesive;66.194;78;33.097;T50-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Adhesive,T50-10-1,Accexxon;CATALOGUE Adhesive;CATALOGUE,Adhesive,T50-10-1,Accexxon;Accexxon-T50-10-1;3
1;CATALOGUE Matte Black;87.4;78;43.7;R10-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R10-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R10-10-1,Accexxon;Accexxon-R10-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R10-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R10-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R10-10-2,Accexxon;Accexxon-R10-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R09-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R09-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R09-10-1,Accexxon;Accexxon-R09-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R09-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R09-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R09-10-2,Accexxon;Accexxon-R09-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R22-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R22-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R22-10-1,Accexxon;Accexxon-R22-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R22-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R22-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R22-10-2,Accexxon;Accexxon-R22-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R13-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R13-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R13-10-1,Accexxon;Accexxon-R13-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R13-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R13-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R13-10-2,Accexxon;Accexxon-R13-10-2;3
1;CATALOGUE Matte Black;110.354;78;55.177;R06-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R06-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R06-10-1,Accexxon;Accexxon-R06-10-1;3
1;CATALOGUE Gloss Black;137.954;78;68.977;R06-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R06-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R06-10-2,Accexxon;Accexxon-R06-10-2;3
1;CATALOGUE Matte Black;110.4;78;55.2;R01-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R01-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R01-10-1,Accexxon;Accexxon-R01-10-1;3
1;CATALOGUE Gloss Black;179.4;78;89.7;R01-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R01-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R01-10-2,Accexxon;Accexxon-R01-10-2;3
1;CATALOGUE Matte Black;110.4;78;55.2;R01-20-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R01-20-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R01-20-1,Accexxon;Accexxon-R01-20-1;3
1;CATALOGUE Gloss Black;179.4;78;89.7;R01-20-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R01-20-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R01-20-2,Accexxon;Accexxon-R01-20-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R02-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R02-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R02-10-1,Accexxon;Accexxon-R02-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R02-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R02-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R02-10-2,Accexxon;Accexxon-R02-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R02-20-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R02-20-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R02-20-1,Accexxon;Accexxon-R02-20-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R02-20-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R02-20-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R02-20-2,Accexxon;Accexxon-R02-20-2;3
1;CATALOGUE Matte Black;110.4;78;55.2;R07-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R07-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R07-10-1,Accexxon;Accexxon-R07-10-1;3
1;CATALOGUE Gloss Black;128.754;78;64.377;R07-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R07-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R07-10-2,Accexxon;Accexxon-R07-10-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R14-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R14-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R14-10-2,Accexxon;Accexxon-R14-10-2;3
1;CATALOGUE Matte Black;110.4;78;55.2;R11-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R11-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R11-10-1,Accexxon;Accexxon-R11-10-1;3
1;CATALOGUE Gloss Black;128.754;78;64.377;R11-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R11-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R11-10-2,Accexxon;Accexxon-R11-10-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R15-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R15-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R15-10-2,Accexxon;Accexxon-R15-10-2;3
1;CATALOGUE Gloss Black;119.554;78;59.777;R21-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R21-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R21-10-2,Accexxon;Accexxon-R21-10-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R17-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R17-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R17-10-2,Accexxon;Accexxon-R17-10-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R17-20-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R17-20-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R17-20-2,Accexxon;Accexxon-R17-20-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R28-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R28-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R28-10-2,Accexxon;Accexxon-R28-10-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R28-20-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R28-20-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R28-20-2,Accexxon;Accexxon-R28-20-2;3
1;CATALOGUE Gloss Black;147.154;78;73.577;R25-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R25-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R25-10-2,Accexxon;Accexxon-R25-10-2;3
1;CATALOGUE Matte Black;110.354;78;55.177;R08-40-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R08-40-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R08-40-1,Accexxon;Accexxon-R08-40-1;3
1;CATALOGUE Gloss Black;137.954;78;68.977;R08-40-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R08-40-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R08-40-2,Accexxon;Accexxon-R08-40-2;3
1;CATALOGUE Satin Black;87.4;78;43.7;R16-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Satin,Black,R16-10-1,Accexxon;CATALOGUE Satin Black;CATALOGUE,Satin,Black,R16-10-1,Accexxon;Accexxon-R16-10-1;3
1;CATALOGUE Gloss Black;124.2;78;62.1;R16-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R16-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R16-10-2,Accexxon;Accexxon-R16-10-2;3
1;CATALOGUE Satin Black;110.4;78;55.2;R12-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Satin,Black,R12-10-1,Accexxon;CATALOGUE Satin Black;CATALOGUE,Satin,Black,R12-10-1,Accexxon;Accexxon-R12-10-1;3
1;CATALOGUE Matte Black;73.554;78;36.777;R04-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R04-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R04-10-1,Accexxon;Accexxon-R04-10-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R04-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R04-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R04-10-2,Accexxon;Accexxon-R04-10-2;3
1;CATALOGUE Matte Black;73.554;78;36.777;R05-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R05-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R05-10-1,Accexxon;Accexxon-R05-10-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R05-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R05-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R05-10-2,Accexxon;Accexxon-R05-10-2;3
1;CATALOGUE Matte Black;73.554;78;36.777;R03-20-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R03-20-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R03-20-1,Accexxon;Accexxon-R03-20-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R03-20-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R03-20-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R03-20-2,Accexxon;Accexxon-R03-20-2;3
1;CATALOGUE Matte Black;73.554;78;36.777;R03-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R03-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R03-10-1,Accexxon;Accexxon-R03-10-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R03-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R03-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R03-10-2,Accexxon;Accexxon-R03-10-2;3
1;CATALOGUE Matte Black;73.554;78;36.777;R05-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R05-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R05-10-1,Accexxon;Accexxon-R05-10-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R05-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R05-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R05-10-2,Accexxon;Accexxon-R05-10-2;3
1;CATALOGUE Matte Black;73.554;78;36.777;R18-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R18-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R18-10-1,Accexxon;Accexxon-R18-10-1;3
1;CATALOGUE Gloss Black;110.308;78;55.154;R18-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R18-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R18-10-2,Accexxon;Accexxon-R18-10-2;3
